,first,second,third
0,0.0071877735,0.007835415,0.0071523334
1,0.007471869,0.006202535,0.0073876474
2,0.0064388174,0.008067143,0.0073660524
3,0.024245862,0.011298033,0.008912954
4,0.012934054,0.008979734,0.009595257
5,0.0075906715,0.00792734,0.0075661684
6,0.015270249,0.008670665,0.009003422
7,0.004848423,0.0075437566,0.0043593906
8,0.0074078105,0.010479483,0.0074877213
9,0.008148045,0.008147281,0.007240919
10,0.010062856,0.012764032,0.013227756
11,0.006811803,0.00857576,0.0094161555
12,0.0056355605,0.0056740576,0.006713233
13,0.006785603,0.00547988,0.004989931
14,0.004941643,0.007990217,0.009210153
15,0.007430596,0.008058257,0.008464699
16,0.0069633247,0.007523901,0.008301041
17,0.0052819992,0.0068873847,0.007537674
18,0.0055465237,0.008087127,0.008138803
19,0.007720066,0.005191942,0.005833667
20,0.01760774,0.015034038,0.015071266
21,0.0071920184,0.008912317,0.009470595
22,0.009201842,0.008861468,0.008974225
23,0.0048122,0.0065861885,0.007489099
24,0.008778391,0.010362636,0.010320133
25,0.0048583364,0.0062504597,0.0047455733
26,0.006185073,0.0065021664,0.0050936793
27,0.022415657,0.023562053,0.014948766
28,0.015003422,0.017310036,0.012040448
29,0.007945389,0.008931034,0.0074702166
30,0.009587987,0.007852359,0.008561853
31,0.0060571684,0.0072071548,0.006766463
32,0.0073870937,0.010399395,0.005083273
33,0.014399039,0.012730917,0.016620202
34,0.012675296,0.007704299,0.008132031
35,0.0074529354,0.009184061,0.008549295
36,0.011713424,0.009244788,0.010720983
37,0.0070693432,0.008980619,0.020691631
38,0.014051341,0.013799364,0.010325141
39,0.028843464,0.014286478,0.022847172
40,0.029259296,0.025925212,0.02742884
41,0.009478152,0.017906329,0.010394837
42,0.005681223,0.007400307,0.0044709546
43,0.007838311,0.0065233693,0.0051693697
44,0.007259023,0.006181404,0.006802962
45,0.07695029,0.07451802,0.07381981
46,0.026439017,0.03391135,0.025340308
47,0.01950802,0.016734937,0.018867556
48,0.020334339,0.022014298,0.019248197
49,0.022500427,0.019963885,0.026234644
50,0.0,0.0,0.0
51,0.023750419,0.017992005,0.028509658
52,0.016582323,0.015140096,0.016583836
53,0.014330715,0.010929309,0.011175567
54,0.0,0.0,0.0
55,0.0,0.0022891487,0.006127729
56,0.06055457,0.054937255,0.0579886
57,0.049416684,0.047215555,0.051629312
58,0.0,0.007611113,0.007412137
59,0.0,0.0,0.01255509
60,0.0,0.0,0.0
61,0.006484812,0.0064646103,0.0050385003
62,0.10080805,0.1069756,0.10002551
63,0.11086365,0.1242804,0.11334956
