,first,second,third
0,0.007584101,0.010812944,0.0071970248
1,0.008549077,0.007716198,0.009109135
2,0.008553648,0.010086907,0.010101477
3,0.015943876,0.01468775,0.011172911
4,0.015016603,0.01385572,0.012529088
5,0.009677651,0.009634254,0.009458297
6,0.012763731,0.01129158,0.010347811
7,0.007675157,0.010624192,0.00602934
8,0.011055538,0.012115269,0.009630769
9,0.010666251,0.008619742,0.007364269
10,0.012825729,0.015544808,0.015005823
11,0.008742355,0.010807692,0.009553083
12,0.0063878987,0.0072115967,0.008311593
13,0.008330839,0.006027954,0.0060494444
14,0.0068641296,0.0102672065,0.0059432914
15,0.008055316,0.009999576,0.010609052
16,0.008935324,0.009541959,0.009652617
17,0.0071102837,0.010325427,0.009721532
18,0.007489897,0.015639337,0.008417058
19,0.009483017,0.008782506,0.0075180153
20,0.020215621,0.03091573,0.019537948
21,0.013828249,0.009659586,0.009452312
22,0.011990677,0.011372607,0.010322096
23,0.0072250376,0.009784743,0.0085071465
24,0.010344516,0.009957322,0.0139177
25,0.005627742,0.0075290045,0.006556522
26,0.005218132,0.007475219,0.007145067
27,0.035776753,0.030337496,0.021986386
28,0.021366503,0.015385888,0.014595884
29,0.012937424,0.009591312,0.010098074
30,0.01194146,0.010888243,0.011235149
31,0.007883014,0.008402212,0.008478472
32,0.0072898217,0.008163009,0.008927628
33,0.020346818,0.013660563,0.018440217
34,0.0144665055,0.009236102,0.01207843
35,0.012570693,0.013030015,0.01289726
36,0.011155963,0.015834522,0.01606731
37,0.014204282,0.018290387,0.026775656
38,0.019586058,0.020214608,0.016108532
39,0.036832184,0.027539594,0.041164227
40,0.033927824,0.034124985,0.034913123
41,0.01435482,0.023234578,0.018147277
42,0.0039662863,0.0061676274,0.0065124584
43,0.01135411,0.010860689,0.0077527245
44,0.010401467,0.007891409,0.009890677
45,0.094205834,0.08968679,0.08877484
46,0.030683775,0.02639806,0.028873565
47,0.022949483,0.025267947,0.022136316
48,0.038215272,0.028265024,0.04073653
49,0.0,0.0,0.0
50,0.04509978,0.032654822,0.054639205
51,0.019424248,0.01564477,0.019801354
52,0.018518278,0.017531589,0.017146049
53,0.0,0.0,0.0
54,0.0,0.008562688,0.0048841815
55,0.06658228,0.070549406,0.07286719
56,0.08154472,0.07933441,0.08632799
57,0.0,0.009569628,0.008582869
58,0.007204862,0.0045072073,0.0
59,0.0,0.0,0.0
60,0.009049086,0.008887583,0.0
