,Feature_Name,Score
39,slope_b_c,0.064
27,b_div_a,0.05
37,AGI_inf,0.038
36,AGI,0.035
38,AGI_mod,0.033
33,c_div_amp,0.029
30,e_div_a,0.027
20,RI_p2,0.026
28,c_div_a,0.026
4,t_sys,0.025
22,A1,0.023
35,e_div_amp,0.023
41,IPAD,0.022
43,CT_div_ht,0.021
21,ratio_p2_p1,0.021
44,SI,0.021
6,t_ratio,0.021
16,AI,0.02
3,prop_s,0.02
15,AP,0.02
31,a_div_amp,0.019
7,prop_delta_t,0.019
8,t_p1in_dia,0.019
9,t_p2in_dia,0.019
34,d_div_amp,0.019
10,t_b_c,0.019
11,t_b_d,0.019
1,delta_t,0.018
18,RI,0.018
29,d_div_a,0.018
17,dia_amp,0.018
26,ms_div_amp,0.018
25,ms,0.018
24,IPA,0.018
2,CT,0.018
42,k,0.018
19,RI_p1,0.018
5,t_dia,0.018
32,b_div_amp,0.017
23,A2,0.017
0,T,0.016
40,slope_b_d,0.015
13,pulse_amp_p1,0.015
14,pulse_amp_p2,0.013
12,pulse_amp,0.012
